"GEOCODE","var_pl94_use","count"
"440070001024042","tot_a0p_r1_b",0
"440070001024042","tot_a0p_r1_na",0
"440070001024042","tot_a0p_r1_a",0
"440070001024042","tot_a0p_r1_pi",0
"440070001024042","tot_a0p_r1_o",0
"440070001024042","tot_a0p_r2p_all",44
"440070001024042","tot_a0p_hl_yn",44
"440070001024042","tot_a0p_hl_y",44
"440070001024042","tot_a0p_hl_n",0
"440070001024042","tot_a0p_r1p_all_hl_n",0
"440070001024042","tot_a0p_r1_w_hl_n",0
"440070001024042","tot_a0p_r1_b_hl_n",0
"440070001024042","tot_a0p_r1_na_hl_n",0
"440070001024042","tot_a0p_r1_a_hl_n",0
"440070001024042","tot_a0p_r1_pi_hl_n",0
"440070001024042","tot_a0p_r1_o_hl_n",0
"440070001024042","tot_a0p_r2p_all_hl_n",0
"440070001024042","tot_a18p",44
"440070001024042","tot_a18p_r1_all",0
"440070001024042","tot_a18p_r1_w",0
"440070001024042","tot_a18p_r1_b",0
"440070001024042","tot_a18p_r1_na",0
"440070001024042","tot_a18p_r1_a",0
"440070001024042","tot_a18p_r1_pi",0
"440070001024042","tot_a18p_r1_o",0
"440070001024042","tot_a18p_r2p_all",44
"440070001024042","tot_a18p_hl_yn",44
"440070001024042","tot_a18p_hl_y",44
"440070001024042","tot_a18p_hl_n",0
"440070001024042","tot_a18p_r1p_all_hl_n",0
"440070001024042","tot_a18p_r1_w_hl_n",0
"440070001024042","tot_a18p_r1_b_hl_n",0
"440070001024042","tot_a18p_r1_na_hl_n",0
"440070001024042","tot_a18p_r1_a_hl_n",0
"440070001024042","tot_a18p_r1_pi_hl_n",0
"440070001024042","tot_a18p_r1_o_hl_n",0
"440070001024042","tot_a18p_r2p_all_hl_n",0
"440070001023008","tot_a0p",24
"440070001023008","tot_a0p_r1_all",8
"440070001023008","tot_a0p_r1_w",8
"440070001023008","tot_a0p_r1_b",0
"440070001023008","tot_a0p_r1_na",0
"440070001023008","tot_a0p_r1_a",0
"440070001023008","tot_a0p_r1_pi",0
"440070001023008","tot_a0p_r1_o",0
"440070001023008","tot_a0p_r2p_all",16
"440070001023008","tot_a0p_hl_yn",24
"440070001023008","tot_a0p_hl_y",19
"440070001023008","tot_a0p_hl_n",5
"440070001023008","tot_a0p_r1p_all_hl_n",5
"440070001023008","tot_a0p_r1_w_hl_n",5
"440070001023008","tot_a0p_r1_b_hl_n",0
"440070001023008","tot_a0p_r1_na_hl_n",0
"440070001023008","tot_a0p_r1_a_hl_n",0
"440070001023008","tot_a0p_r1_pi_hl_n",0
"440070001023008","tot_a0p_r1_o_hl_n",0
"440070001023008","tot_a0p_r2p_all_hl_n",0
"440070001023008","tot_a18p",8
"440070001023008","tot_a18p_r1_all",8
"440070001023008","tot_a18p_r1_w",8
"440070001023008","tot_a18p_r1_b",0
"440070001023008","tot_a18p_r1_na",0
"440070001023008","tot_a18p_r1_a",0
"440070001023008","tot_a18p_r1_pi",0
"440070001023008","tot_a18p_r1_o",0
"440070001023008","tot_a18p_r2p_all",0
"440070001023008","tot_a18p_hl_yn",8
"440070001023008","tot_a18p_hl_y",3
"440070001023008","tot_a18p_hl_n",5
"440070001023008","tot_a18p_r1p_all_hl_n",5
"440070001023008","tot_a18p_r1_w_hl_n",5
"440070001023008","tot_a18p_r1_b_hl_n",0
"440070001023008","tot_a18p_r1_na_hl_n",0
"440070001023008","tot_a18p_r1_a_hl_n",0
"440070001023008","tot_a18p_r1_pi_hl_n",0
"440070001023008","tot_a18p_r1_o_hl_n",0
"440070001023008","tot_a18p_r2p_all_hl_n",0
"440070001014003","tot_a0p",0
"440070001014003","tot_a0p_r1_all",0
"440070001014003","tot_a0p_r1_w",0
"440070001014003","tot_a0p_r1_b",0
"440070001014003","tot_a0p_r1_na",0
"440070001014003","tot_a0p_r1_a",0
"440070001014003","tot_a0p_r1_pi",0
"440070001014003","tot_a0p_r1_o",0
"440070001014003","tot_a0p_r2p_all",0
"440070001014003","tot_a0p_hl_yn",0
"440070001014003","tot_a0p_hl_y",0
"440070001014003","tot_a0p_hl_n",0
"440070001014003","tot_a0p_r1p_all_hl_n",0
"440070001014003","tot_a0p_r1_w_hl_n",0
"440070001014003","tot_a0p_r1_b_hl_n",0
"440070001014003","tot_a0p_r1_na_hl_n",0
"440070001014003","tot_a0p_r1_a_hl_n",0
"440070001014003","tot_a0p_r1_pi_hl_n",0
"440070001014003","tot_a0p_r1_o_hl_n",0
"440070001014003","tot_a0p_r2p_all_hl_n",0
"440070001014003","tot_a18p",0
"440070001014003","tot_a18p_r1_all",0
"440070001014003","tot_a18p_r1_w",0
"440070001014003","tot_a18p_r1_b",0
"440070001014003","tot_a18p_r1_na",0
"440070001014003","tot_a18p_r1_a",0
"440070001014003","tot_a18p_r1_pi",0
"440070001014003","tot_a18p_r1_o",0
"440070001014003","tot_a18p_r2p_all",0
"440070001014003","tot_a18p_hl_yn",0
"440070001014003","tot_a18p_hl_y",0
"440070001014003","tot_a18p_hl_n",0
"440070001014003","tot_a18p_r1p_all_hl_n",0
"440070001014003","tot_a18p_r1_w_hl_n",0
"440070001014003","tot_a18p_r1_b_hl_n",0
"440070001014003","tot_a18p_r1_na_hl_n",0
"440070001014003","tot_a18p_r1_a_hl_n",0
"440070001014003","tot_a18p_r1_pi_hl_n",0
"440070001014003","tot_a18p_r1_o_hl_n",0
"440070001014003","tot_a18p_r2p_all_hl_n",0
"440070001022010","tot_a0p",152
"440070001022010","tot_a0p_r1_all",152
